category,job_description_new,job_type_new,split
Engineering, We are currently seeking expressions of interest from System Safety Engineers for Melbourne based positions on Defence projects Some of your experience may include Working with clients to help develop System Safety Program Plans maintaining and implementing developing verification plans and procedures Developing safety cases and ILS documentation Undertaking detailed safety analysis including calculating FMEA and FMECA LORA Maintaining Hazard Logs Developing safety training material Technical requirement analysis including analysis of impacts of Contract Change Proposals and Engineering Change Proposals to the scope of the requirements Requirements tracing within a requirements management database environment Technical support to the preparation of subcontract Statements of Work Technical support to execution of subcontracts and acceptance of subcontract deliverables Technical support to Hardware Engineering Software Engineering Logistics Engineering Safety Engineering Human Engineering and other specialty engineering disciplines Technical support to the installation of equipment Other key requirements Bachelor technical degree in Engineering Membership to Engineers Australia Postgraduate qualification in System Safety Engineering Good understanding of Defence System safety standards Worked under TRAMM guidelines Australian Defence Security Clearance If you have this background please apply or call Sophie Richards on 03 9982 0304 To apply online please click on the appropriate link below and attach your resume as a word document Alternatively please contact Sophie Richards on 03 9982 0304 quoting the Job Title for this position Visit www kinexus com au to view more jobs ,Other,train
"Mining, Resources & Energy", As one of the Australia s largest providers of human resources solutions Chandler Macleod has a proven track record of unleashing potential in people and companies Chandler Macleod Singleton are currently looking for a number of experienced warehouse officers with a can do attitude for ongoing roles with one of their mining clients in the Hunter Valley Ability to work 7 days a week day and night shift you will be responsible for a range of warehouse duties including goods receiving and despatch bin maintenance forklift operation organising parts for jobs and general cleaning and organisation of your work area What experience will you need Previous experience in a stores warehouse role A current HR licence Experience in electric and diesel forklift operations Experience with SAP would be highly regarded Mining experience preferred but not essential All candidates must undergo or provide a current coal board medical and drug and alcohol test to meet the requirements of the position We re ready to start you NOW Click the Apply Now button to start your application or call the Singleton Branch on 02 6572 5900 ,Other,train
Information & Communication Technology, The Department of Human Services has a requirement at a high level is to engage two SAP HANA Specialists to focus on a number of issues in relation to the department s SAP products The functions performed in the role are crucial to meeting critical deliverables within the ICT Product Architecture Branch and for all SAP projects in the department The duties the resources will be required to perform include HANA Modelling Script based and Graphical Procedures Functions HANA XSJS JOB creation and scheduling HANA XSOData CRUD operations HANA model optimizations HANA Lifecycle management Mandatory Criteria Demonstrated high level experience Minimum 5 years as a SAP Hana Specialist in large and complex enterprise environments preferably with Federal Government organisations Appropriately skilled and or certified with knowledge of and demonstrated experience in various SAP tools and technologies such as Proficiency in Node JS HANA Modelling Script based and Graphical Procedures Functions HANA XSJS JOB creation and scheduling HANA XSOData CRUD operations HANA model optimizations HANA Lifecycle management HANA Security Understanding of SLT Replication also required Weighted Criteria Demonstrated ability to design and deliver high quality solutions for complex business requirements on time in a fast paced team environment Demonstrated ability and experience in preparation of technical documentation and system development If you have any questions regarding this contract opportunity please do not hesitate to reach out to Joe Pivac on 02 6245 1705 for a confidential discussion quoting reference 183440 ,Other,train
Healthcare & Medical, About Takeda With around 30 000 people working in approximately 70 countries we are a truly global partner for better health Takeda is dedicated to pharmaceutical innovation and tackling diseases for which there is currently no cure We are expanding continuously into new fields of treatment and therapy By always putting people first we empower employees so everyone can develop to his or her full potential We are looking for colleagues with the right skills and experiences to support us in improving the quality of the most precious thing we know life Main Purpose of Position The focus of this role is to lead the migration and upgrade of the CRM system Accountabilities Lead all aspects of a CRM migration project This will include Representing the local business in all interactions with the Programme Team Providing detailed input to the Programme Team regarding the technical specifications required for Australia Develop a plan for and manage the migration of data from the current system into Veeva Design and oversee user acceptance testing prior to launch of the Veeva system Identify future users who can be called upon to support this process Develop test scripts to ensure the system is robust stable and easy to use Lead the change management process for the Australian LOC Develop a communication plan for future users and LOC management Manage the training for users of the Veeva system Provide follow up support post launch of the new system as required Administer oversee the current CRM system Mobile Intelligence You Will Need Tertiary qualification in a discipline that includes either a significant system or analytical focus e g science IT economics business engineering Min of 3 to 5 years of work experience in a CRM system or analyst role Experience within the pharmaceutical healthcare industry is preferred Candidates who have not worked in the industry will be considered on the basis of their experience and learning agility Previous experience in implementing managing or administering a CRM system Experience with Veeva or Sales Force platform would be highly regarded Advanced knowledge in Microsoft Office suite esp Excel and PowerPoint Competencies Technical problem solving Time Management the ability to manage multiple tasks simultaneously while meeting the time requirements of stakeholders Effective written verbal communication the ability to lead stakeholders through a cycle of change management via clear proactive communication Collaboration the ability to work well with a wide variety of stakeholders incl staff from a variety of functions e g Commercial Sales Medical and locations inside outside Australia Resilience the ability to adapt to the dynamic nature of the business and the needs of various stakeholders Attention to Detail For a confidential discusion call Michael on 61 0 419 140 304 ,Other,train
Education & Training,ABOUT US Chisholm is Victoria s premier public vocational education and training provider with campuses located across Melbourne and the south east Each year we welcome some 30 000 students from over 43 culturally and linguistically diverse backgrounds More than 1 200 passionate and dedicated Chisholm employees work together to deliver quality training and education in Melbourne s south east manufacturing heartland and key residential growth corridor A Victorian Government owned TAFE we aim to lead the way in education and training to inspire success and transform lives Our purpose is to excel in education and training and be respected and valued for enhancing the social and economic futures of individuals industry and communities Our drive for commercial success is underpinned by our core values of Opportunity Integrity Collaboration and Achievement In the past 20 years we have grown significantly to become a multi sector institute delivering a broad range of education and training programs and services in higher education vocational education and training VET and school sectors across ten campuses in Victoria online in the workplace and overseas with partner educational and government organisations We offer more than 400 courses from VCE VCAL VETiS through to nationally accredited qualifications such as certificates diplomas advanced diplomas degrees graduate certificates graduate diplomas and short courses ABOUT THE ROLE You will be accountable for the initial qualification of all enquiries with Chisholm providing face to face concierge support at our customer service counters and providing administrative back end support to the Customer Service team Your key accountabilities will be to Interact directly with customers students internal and external stakeholders via phone face to face web chat and email in a professional manner to provide information and assistance Qualify prospective students referring to Course Advisors where required Provide customer centred and professional service at all times to enhance customer satisfaction and maintain the professional image of the Institute Provide enrolment administration support to students in a professional and engaging manner aligned to Chisholm s Customer Service Guidelines Concierge enrolling students to ensure thy have correct paperwork to meet compliance and eligibility requirements Participate in team meetings to communicate operational activity and to contribute to the operation of the team Maintain accuracy and ensure compliance and internal KPI s are met There are multiple roles available across our campuses Minimum of 10 15 hours per week You will be required to work shifts between the hours of 8am 9pm over our peak period with the possibility of some Saturday work ABOUT YOU You will have a relevant qualification at a minimum of post secondary level or equivalent relevant experience Crucial to your success is your exceptional customer service skills both face to face and via phone with a proven track record in a similar role being beneficial Working as part of a team is something you enjoy and you actively work with your team to achieve performance goals You will be an exceptional communicator who positively influences outcomes and gets the job done Collaborative by nature you will thrive in the fast paced deadline driven environment and relish the opportunity of being a vital part of the continuing success of Chisholm Aboriginal and Torres Strait Islander people are encouraged to apply OUR COMMITMENT TO DIVERSITY At Chisholm we embrace differences in gender age ethnicity race cultural background disability religion and sexual orientation We know that diversity and inclusion helps us to attract recruit engage and retain a team of talented people If you require specific support to apply for this position please advise the recruiting manager whose contact details are listed in the advertisement We will work with you to identify the best way to assist you HOW TO APPLY Applications for this position close 9am Wednesday 13 June 2018 Applications should include a covering letter curriculum vitae contact details of three 3 referees Appointment to this position is subject to satisfactory completion of Safety Screening requirements including but not limited to valid Employee Working With Children Check National Police Check International Police Check if applicable verification of unrestricted work rights in Australia eg citizenship passport or birth certificate certified copies of qualifications If you have any questions regarding the position or require further information please contact Tania Collins Team Leader Customer Service Customer Client Engagement on telephone 61 03 9238 8145 Chisholm Institute reserves the right to withdraw an advertised position at any stage ,Other,train
Community Services & Development, Do you want to pay for expenses with money from your salary before tax is taken out Salary Packaging is available Independence Australia is a social enterprise that provides choices for people living with a disability or other personal need supporting them to regain and retain their independence We are currently recruiting for Female Disability Support Workers who are committed to making a difference to people s lives The successful applicants will work as part of a positive committed and enthusiastic team We are currently seeking people who have Demonstrated experience as a disability support worker in the community or in home setting A Certificate III or IV in Disability or similar An ability to create supportive and professional working partnerships which encourages personal independence Previous experience supporting individuals with behaviours of concern will be highly regarded Excellent interpersonal skills including working positively with others problem solving and dealing with conflict and Sensitivity in relation to client s needs We currently have vacancies for Disability Support Workers in Narre Warren Previous experience in the following will be highly regarded Showering Catheter Care Hoist Transfers Toileting Leg Bag Community Access Domestic Assistance Meal Preparation Slide Boards Peg Feeding Sleepovers Wheelchairs Bowel Care Positions require a satisfactory Pre Employment Police Check DWES Check and Pre Employment Medical Assessment if required The successful applicants must be willing to undergo further training and development specific to the clients care and possess a current Victorian driver s licence If you are ready to improve the quality of life of people living in your community send your resume and cover letter to dswrecruitment iagroup org au For more information about working for us or to discuss your application please contact Ashlee O Brien Recruitment Coordinator on 03 9488 9128 ,Other,train
Administration & Office Support, Safety Administrator 32 24p h South Eastern Suburbs Immediate Start 8 00 15 00 Monday to Friday Concept Engineering have an immediate vacancy for a reliable candidate who holds a Safety background for an exciting role with a well known national company The company has a strong safety culture and this position offers the successful candidate the opportunity to secure an casual position to assist managers with writing policies and procedures with this icon of the Australian transport industry Candidates will be required to submit to a drug and alcohol test along with a pre employment medical examination A national criminal history check will also be conducted Candidates will need to provide two recent verifiable work references Manager level If you have read this ad and feel you satisfy the relevant criteria we would love to hear from you There is only one position and at this pay rate it won t last long so APPLY NOW Concept Engineering wished to advise that due to the large number of anticipated applications only successfully shortlisted candidates will be contacted Thank you for your interest in our position and good luck with your application ,Other,train
"Manufacturing, Transport & Logistics", We are looking for Warehouse Consolidators for a Temp Perm assignament within Erskine Park In these roles your duties and responsibilities will include but not limited to Picking and packing of boxes using an RF Scanning Gun Sorting and packing of boxes Consolidating boxes into new allocated bays Maintaining a safe and tidy working environment Ideally you will need to have 1 year minimum recent Warehouse Experience Proven stable work history Must have RF Scanning Experience Availability to start ASAP Impeccable attention to detail Alibility to read long numeric barcode numbers quickly and accurately Own reliable transport Ability to work to strict KPI s and cutoff times Previous experience and knowledge with inventory systems or similar as well as Microsoft office and outlook Physically fit and able to carry boxes and tubs of files 5 15kgs as well as ascend and descend stairs regularly Familiar with Warehouse Management Systems Ability to work within a fast paced environment Good communication skills Forklift license is preferred The successful applicant will be rewarded with a great work life balance have the opportunity to work with a highly regarded business with motivated teams and other excellent benefits These amazing long term opportunities will not last long Online applications are now open so press APPLY NOW If you require any further information Please call on 02 8834 8977 ,Other,train
Education & Training,Temple Beth Israel TBI is Victoria s largest Progressive Congregation has an exciting new position available for directing and growing TBI s supplementary education program TBI Tamid Our courses provides Hebrew Language Religious and Jewish cultural lessons to children from Prep to Year 7 The role will involve coordinating the programme liaising with tutors enrollments course promotion and being the interface between the families and TBI It would be an advantage if you are also able to contribute and support curriculum This is a part time position 16 20 hours per week and would suit someone who has a strong commitment to progressive Jewish values and a good understanding of Judaism Experience in education administration or a qualification in Jewish education or teaching is desirable as well as an ability to build relationships and communicate with school age children and their parents If this sounds like the job for you click the apply now button or please contact Simon Black on 9510 1488 for a confidential chat ,Other,train
Healthcare & Medical,About the Organisation Life Without Barriers is a leading social purpose not for profit organisation of 6 100 employees working in more than 440 communities across Australia We support children young people and families people with disability older people and people with mental illness We work with people who are homeless and refugees and asylum seekers We want to employ people who reflect the diversity of our clients to ensure we can support each client s individual needs and wants We encourage people of Aboriginal and Torres Strait Islander background and people with disability to apply About the role Rare opportunity to be part of an exciting new initiative implementing Multi systemic Therapy Child Abuse Neglect MST CAN The mission of MST CAN is to keep families together and ensure that children are safe while reducing mental health difficulties and increasing social supports This is an internationally recognised program specifically designed to treat 6 17 year olds and their families MST CAN is unique in that it supports all family members to be involved with treatment which reduces the risk of children entering out of home care You will be part of a team consisting of 1 x Senior Psychologist Supervisor 3 x Psychologists Therapists 1 x Caseworker 1 x Psychiatrist Assistance will be provided by program developers and intermediary services to ensure that you and the team are supported to deliver the therapy successfully Further information is available here http mstservices com http www mstcan com Key Responsibilities Conducting assessments and delivering treatments according to multi systemic therapy principles Engaging primary caregivers and other key participants in active change orientated treatment by identifying and overcoming barriers to engagement Building and maintaining relationships with community stakeholders child protection services courts schools etc Maintain clear and concise documentation of treatment efforts that demonstrate compliance with MST Principles Collaborate with all relevant systems and key participants within each system to ensure their buy in and cooperating through MST CAN treatment SKILLS EXPERIENCE Full registration as a Psychologist or Social Worker with a Masters degree Experience in the child and family welfare field this experience could be in Child Protection Out of Home Care Family Services and or other services working with vulnerable families and children Specific experience in Cognitive Behavioural Therapy including trauma treatment Structural Family Therapy Strategic Family Therapy and behaviourally based treatments preferred BENEFITS Flexible working hours rostered days off Car provided Excellent remuneration and salary packaging benefits TAMWORTH Tamworth is famous for its world class country music award winning restaurants and easy going lifestyle Offering the best of both city and rural living locals enjoy access to affordable housing gourmet food shopping top sporting facilities national parks and all for a fraction of the cost you d pay in a major capital city For more information on Tamworth please visit http evocities com au tamworth HOW TO APPLY Include your resume and covering letter in one document click Apply and follow the prompts For any enquiries including persons with disability that require adjustments contact Kestra Caller at recruitment lwb org au Applications close at midnight on Wednesday the 25th of April ,Other,train
Marketing & Communications, Stewart Automotive Group is an award winning Dealership located in Sydney South that includes Sutherland Rockdale Toyota Lexus of Sutherland and VW Rockdale We are currently seeking an enthusiastic creative and hands on Marketing Communications Consultant to assist with driving our brands objectives and overall business growth Your key responsibilities in this role will include Website management and social media marketing strategies including assisting with projects Supporting the creation design and launch of marketing campaigns and activities including events and functions for the various brands Assist with the production of content and marketing materials for the brands using various marketing channels Managing customer communication strategies including creating and driving customer engagement programs and campaigns as well as driving guest experience standards within the business To be successful in this role you will have Experience in a marketing role assisting with the design and implementation of successful marketing strategies into business including events experience Exceptional communication presentation and content development skills Experience in digital marketing using various channels as well as experience driving customer service standards Relevant tertiary qualifications would also be highly regarded In return for your loyalty Stewart Automotive Group offers a great opportunity to represent a strong multi branded business with scope to expand your marketing and communications experience in a local company that offers work life balance Apply to Nicole on nwalsh stewartautomotive com au or call 9521 7111 for a confidential discussion ,Other,train
Trades & Services,Great opportunity for you to join a mining client of ours on a casual basis for ongoing workshop role The scope of work is working on underground mining machinery so experience in this aspect is highly regarded but not essential There is a possibility for this role to become a permanent job opportunity Luxury of being home with the family every night ASAP Start Must be mechanically minded 35 hr for tradesman and 31 hr for trade assistants with penalty rates Monday to Friday roster 12 hour shifts AM shifts with some PM must be open to PM shifts Ongoing role The ideal candidates will be skilled and mechanically minded You will require local accommodation within proximity of Rockhampton and have legal working rights in Australia Due to scope of work overseas applicants need not apply ,Other,train
Administration & Office Support, Workforce International is a wholly Australian owned company with 20 branches throughout Australia We offer a comprehensive range of industrial recruitment labour hire and human resource solutions to clients within numerous industries We are partnered with a leading infrastructure and civil construction company who specialise in large scale construction projects They are now seeking an experienced Administrator to join their team The successful candidate will Have a strong administrative background Have high level written and verbal communication skills Have transferable skills in accounts payable receivable and timesheet management Have excellent attention to detail with the ability to prioritise workload Have high level computer literacy skills Be confident and comfortable working in a construction environment This role will see the successful candidate Provide administrative support to the management team Processing accounts and timesheets Data entry and adhoc office duties This role will suit an experienced Administrator who is willing and eager to learn new skills The successful candidate will be employed casually through Workforce working Monday Friday If you meet the above criteria and are a hardworking and driven individual looking for a local opportunity please submit your resume via the link below or email to teneka zwan workforce com au To apply please click on the appropriate link below Visit www workforce com au to view available jobs or to register with us ,Other,train
Sport & Recreation, About the Company Here at YMCA WA we believe in the power of inspired young people which means providing opportunities for children and young people to grow in body mind and spirit If you align yourself to our values care about people and want to make a real difference within the community we would love to hear from you Wanangkura Stadium located in South Hedland features an international standard 400 seat indoor stadium external netball and basketball courts gym and fitness rooms squash courts kiosk facilities and cr che The main sports stadium caters for a range of uses from sporting competitions social events and cultural activities About the Role YMCA WA is currently recruiting casual Group Fitness Instructors Reporting to the Group Fitness Coordinator you will be required to conduct safe appropriate and stimulating classes within format guidelines Duties Adhere stringently to all work instructions involving procedures for class commencement and conclusion Be professional reliable responsible and mature in dealing with participants before during and after designated class times Foster a sense of belonging to the team and Centre by your own involvement Enjoy yourself and convey this to participants Immediately respond to customer needs or concerns to ensure the quality of service meets agreed standards Ensure compliance with all relevant OS H practices at all times Skills and Experience Relevant approved instructing certificates National Police Clearance and Working with Children check HLTAID003 First Aid certificate Passion and motivation for the Fitness industry Ability to support all fitness levels Les Mills and freestyle qualifications highly regarded To Apply Please visit our website www ymcawa org au and click on the Get involved tab A position description including selection criteria is also available on the website Should you require any further information please contact Megan Scoby Smith on 08 9140 0400 Applications close 6 May 2018 YMCA WA is committed to safeguarding children and young people We require all applicants to undergo an extensive screening process prior to appointment and successful applicants must comply with the YMCA s Safeguarding Children and Young People Framework We reserve the right to commence the recruitment process prior to the nominated closing date Aboriginal and Torres Strait Islander people and people from culturally and linguistically diverse backgrounds are strongly encouraged to apply Visit our website for further information ,Other,train
Administration & Office Support, Fixed Term Position until 29th June 2018 Funded Position 15 2 hours per fortnight Are you passionate about Community Would you like to be involved in helping us build a stronger more connected and vibrant community in Melton South An exciting opportunity has become available for an enthusiastic and community minded individual to join our Health Promotion Team at Djerriwarrh Health Services This is a temporary part time position 15 2 hours per fortnight until 29th June 2018 We are providing an exciting opportunity for mentoring and support to develop your skills in community engagement project management and event coordination through the Linking Melton South and Festival for Healthy Living health promotion projects Linking Melton South was established in 2013 by Djerriwarrh Health Services and the Festival for Healthy Living FHL is an initiative of the Royal Children s Hospital RCH Mental Health unit Both projects have worked together since 2013 with a shared objective to build the capacity of the local community to be able to respond to local aspirations and needs Ensuring the health and safety of our patients visitors and staff is at the heart of everything we do As part of this commitment all new employees must meet the immunisation requirement of their role prior to commencement Djerriwarrh Health Services offers a diverse and inspiring professional environment We serve one of the fastest growing metropolitan populations of Melton and Moorabool with our various sites located at Melton Bacchus Marsh and Caroline Springs We can offer you a positive friendly and supportive work environment ongoing professional development study leave assistance salary packaging up to 9010 per annum paid parental leave and free parking For further information please contact Ben Taylor Health Promotion Coordinator on 8746 1104 or refer to the Position Description for the Key Selection Criteria Applicants will be required to complete a questionnaire when applying for this position which will include your responses to the Key Selection Criteria listed in the Position Description To obtain more information and the Key Selection Criteria please refer to the Position Description Applications close 30th April 2018 at 6 00pm Applications must be submitted online to apply for this position click Apply Now The successful applicant will be required to supply a current Police Records Check prior to commencement of employment Djerriwarrh Health Services is an Equal Opportunity Employer To apply for this job go to www djhs recruitmenthub com au enter ref code 4106207 Applications close 30 April 2018 ,Other,train
"Mining, Resources & Energy", Brunel are currently seeking applications from experienced Maintenance Electricians for a 3 6 month assignment with possibility of extension FIFO from Perth WA Working a 2 1 roster 12 hr days Point of hire will be Perth only About the client Our client is an Australian industry leader in Iron Ore production with an exciting production pipeline requiring a consistent maintenance schedule to reach their current production goals They operate cutting edge plant and associated equipment and need highly skilled staff to keep it running You will have the opportunity to be part of a high performance team surrounded by highly skilled maintenance professionals What we are looking for Maintaining fixed plant and equipment attending breakdowns and fault finding experience in a mining environment is necessary Previous experience as a shift electrician with one of the big 4 Iron ore producers would be beneficial as this role requires you to hit the ground running What you need WA Electrical Licence CPR and LVR current within 1 year EWP Desirable Working at Heights and Confined Space Entry issued within the last 2 years Previous FIFO experience Must Ability to pass medical and DAS Current Australian Drivers Licence What you get 52 00 flat rate per hour 12 hour days 3 6 months with possible extension If you are interested in applying for this role please use the link below and send tickets and licences to onshore brunel net ,Other,train
Trades & Services, Forsythes Recruitment are currently seeking skilled waste workers and waste centre labourers for a local government waste and recycling facility The successful candidate will hold a current HR drivers licence and have experience in waste collection and truck driver off siding These casual roles will be based out of our clients Waratah depot on an ongoing and ADHOC basis The successful applicant will have the following Current HR drivers licence OHS white card Minimum 12 months experience Highly Desirable Knowledge of waste collection routes Experience in pressure washing Plant operating experience Only applicants with demonstrated experience will be considered for these roles Successful candidates will have to undertake DRUG ALCOHOL screening Any enquiries can be made by calling our Newcastle office 02 4935 3500 and asking to speak with a member of the Trade and Industrial Team ,Other,train
Healthcare & Medical, MEDICAL TYPIST REQUIRED WORK FROM HOME Medical Transcription Professionals are seeking applicants with the following skills Self motivated reliable and ability to work autonomously 4 years of medical audio typing experience Excellent medical terminology knowledge Excellent grammar and spelling 70 wpm typing speed Excellent computer literacy Own computer and reliable internet access ability to go elsewhere if internet fails Please send resume to mel medicaltranscriptionprofessionals com au with the name and contact details of two professional referees or for more information please call Mel on 0419 369 043 ONLY APPLICANTS WITH 4 YEARS OF MEDICAL TYPING EXPERIENCE WILL BE CONSIDERED ,Other,train
Marketing & Communications, Due to a strong demand from our clients and increasing growth within our contracting division we are seeking experienced Social Media Professionals or Content Managers for 6 and 12 month contracting opportunities who are available to start work immediately or at short notice We work closely with several industry leading growing and well established clients within the services sports media entertainment lifestyle sectors and we are always on the lookout for candidates who are interested in contracting opportunities Ideal background Proven contracting experience within Social Media Content management Experience working within relevant sectors Skills across a range of relevant programs software Ability to execute on established strategies Can work autonomously or within a team environment Strong interpersonal and communication skills What Six Degrees offers you You ll work directly with a specialised contracting consultant within the Marketing Digital discipline We commit to being outcome focused with regular updates on the market opportunities and are proud to reward our contractors for loyalty If you are interested in hearing about current and upcoming opportunities APPLY NOW Alternatively for a confidential career discussion contact Brett Knowles on 03 8613 3521 ,Other,train
Retail & Consumer Products, About Reece Thousands of customers turn to Reece because of our reputation for having what you need when you need it where you need it It s all about delivering the best service possible a commitment we live by every day Our core business is supplying plumbing and bathroom products and services to plumbers builders and retail customers Our staff are a vital part of our business providing friendly expert service The Role We have an opportunity for a Local Delivery Driver to join our team in Armidale You ll work as part of the branch team to deliver exceptional service Hours will be 7am 12pm Monday to Friday and every second Saturday from 8am 12pm Key responsibilities include Picking orders loading delivery vehicles and delivering goods in a safe and timely manner Use of in house technologies to accurately track submit and complete delivery runs Customer Service this includes maintaining a friendly tidy and professional appearance Sales including over the counter sales customer development and quotes Assisting in branch stock management activities and maintaining a high standard of general housekeeping within the branch and vehicles Embracing the Reece values policies and procedures and being a supportive team member About You If you have the following attributes we would like to hear from you Great at customer service A confident communicator Professionally presented Current driver s licence Basic computer skills Commitment to learning and professional development You won t need industry experience just confidence initiative enthusiasm and ambition Previous delivery or customer service experience would be valued You will receive on the job training and the opportunity to move along the Reece Career Pipeline Apply today This is your chance to join an Australian icon and industry leader that offers excellent conditions and training and development opportunities ,Other,train
Administration & Office Support, Ryman Healthcare is one of Australasia s leading providers of retirement living We have built an unprecedented reputation for exceptional resort style facilities which provide residential low and high care along with retirement village living within independent apartments on the same site Weary Dunlop Retirement Village located in Wheelers Hill Melbourne is seeking a friendly and proactive Receptionist to join our supportive team in a permanent part time position Monday to Friday 1630 1900 This role includes working public holidays All applicants must hold a current police check What we are looking for Excellent customer service skills Outstanding telephone manner and communication skills both written and verbal Well presented friendly and reliable Patience and empathy with elderly residents and their families Positive welcoming and enthusiastic attitude Experience in aged care or retirement living would be advantageous If this sounds like you simply apply online now ,Other,train
Sport & Recreation, Goodlife Health Clubs is the largest Australian owned and operated fitness organisation with over 76 Goodlife clubs and 20 HYPOXI studios nationally and growing Our organisation aims to educate motivate and support Australians to get moving and live active Goodlife is an employer of choice for energetic motivated and customer service focused people and it s our people that have been integral to our success An exciting leadership opportunity as Fitness Director has become available at Goodlife Health Clubs If you have a successful background in personal training business management and are an aspiring or proven leader then consider this position The role of the Fitness Director is a broad and exciting opportunity to lead and develop current and future fitness professionals in both practical and business skills and knowledge whilst incorporating a degree of people management and implementation of national fitness projects within your club The scope of this role entails Recruitment of trainers who have an appropriate fit to your existing team Development of your team members in their practical skill sets and knowledge Helping educate your team on relevant business management practices for personal trainers Implementation and management of Goodlife s national fitness projects within your club Managing budgeted targets and financial administration tasks Collaborative management of your club within your surrounding management team The role is Permanent Part Time and you will have the ability to conduct personal training from your home club outside of your Fitness Director role Qualifications Affiliations Certificate IV in Fitness or above Fitness Australia registration Working with Children check Current First Aid and CPR Experience Attributes Minimum 3 years industry experience Accomplished personal trainer with successful track record and client base Ability to lead team members both in setting examples of professional practice and in a one on one setting Confidence in executing tasks and instructions with minimal supervision Strong networking skills and ability to engage and sustain relationships within industry What we offer Competitive remuneration with incentives and of course FREE Gym membership will be offered to the successful applicant As this is a performance orientated role you will be rewarded financially for achieving budgets for your department You will be working with an organisation that is values based and is experiencing incredible growth and change a brand that is leading the industry Apply Now Please submit your resume via the directions below to be considered immediately Only successful candidates will be contacted ,Other,train
Construction, Torque Recruitment Group are currently seeking a Pile Driver Operator for a Solar Farm project in Northam Western Australia In this role the successful candidate will be operating a Pauselli 1200 Pile Driver to drive and place stanchions for PV solar arrays to be mounted About the Role 2 months work commencing end of April 10 12 hour days Monday to Saturday work Northam location Accomodation and food provided Operating a Pauselli 1200 Solar Pile Driver on a Solar Farm Key Skills and Requirements MUST have previous experience operating a Pauselli 1200 Pile Driver or equivalent Experience using GPS to guide piling rigs Synergy GPS Positioning System preferred Expereince operating pile drivers mounted on skids barges crawler treads or locomotive cranes to drive pilings Physically fit must be able to stand for extended periods of time and to stoop bend and crouch as required to perform key duties Must be able to understand work directions and communicate effectively with job site supervisors and fellow employees If you meet the above requirements and are interested in the role please apply via SEEK or send an updated copy of your resume tickets and driver s license to belmont torquejobs com ATTN PILE DRIVER Please note only successful applicants will be contacted ,Other,train
Healthcare & Medical, Position Summary Project Officer Oesophagogastric Cancer Redesign Project Eastern Health is one of Melbourne s largest public health services We provide a comprehensive range of high quality acute sub acute palliative care mental health drug and alcohol residential care and community health services to people and communities that are diverse in culture age socio economic status population and healthcare needs This position is responsible for project coordination and implementation of the redesign work across the oesophagogastric cancer service at Eastern Health to deliver outcomes as defined by the Victorian Oesophagogastric Cancer Service Redesign Program principles and objectives You will work collaboratively with the multidisciplinary team to define the problems contributing to delays in the current Eastern Health oesophagogastric cancer pathway The project officer will design pilot and evaluate an oesophagogastric cancer care model at Eastern Health in partnership with surgeons medical oncologists radiation oncologists GPs consumers and other multidisciplinary team members To be successful in this role you should possess Experience in setting up and managing projects within a health setting Experience in liaising and communicating with key project stakeholders with effective outcomes Experience in the planning scheduling and control of projects Excellent written and verbal reporting skills and oral presentation skills Eastern Health offers a variety of fantastic Employee Benefits view the extensive range here The benefits of working for Eastern Health include Diverse and engaging career opportunities Friendly supportive team Flexible working hours Salary packaging options Career progression in our teaching hospitals If you have the ability and drive to make a difference take hold of this opportunity and apply today All appointments are made subject to a satisfactory police records check You must have the right to permanently live and work in Australia to apply for this job Please submit all applications online Recruitment agency applications will not be accepted Eastern Health Values Patients First Agility Humility Respect Kindness Excellence ,Other,train
Information & Communication Technology, Exciting opportunity for a Service Delivery Coordinator to join a leading Government organisation in Sydney s South West About the company A NSW Government department is recruiting for a Service Delivery Coordinator to join their team on a contract basis in Sydney s South West The successful Service Delivery Coordinator will have demonstrated experience with project management contact centres and key stakeholder management Key role responsibilities Provide advice to the management team and make recommendations to ensure improvement in the organisation Work alongside the management team to develop solutions and implement processes to comply with business requirements Analyse monthly reports and performance measures to identify gaps and work to efficiently enhance service delivery Define and implement internal policies and guidelines to ensure that initiatives align with business requirements Work closely with internal and external stakeholders to provide streamlined services Review audit outcomes to ensure recommendations are compliant with government requirements legislations and standards Key role requirements Strong hands on experience in a project management function Demonstrated experience with contact centres is critical Genesys NICE Cisco Avaya etc Experience with Remedy is essential to this role Strong written and verbal communication skills This exciting opportunity offers the successful Service Delivery Coordinator the experience of working for a large NSW Government department in a 6 month contract with an opportunity for extension To apply please click apply or call Chelsea Pak on 02 8289 3136 for a confidential discussion ,Other,train
